#{"env_id": 1, "t_start": 1534924858.3933766}
r,l,t
-86.020683,100,1105.273056
-88.418534,100,1107.676396
-75.764928,100,1110.145159
-99.12122,100,1112.645181
-100,100,1115.079995
-99.805753,100,1117.598587
-100,100,1120.067713
-100,100,1122.567379
-100,100,1125.100027
-100,100,1127.587018
-79.949132,100,1130.073568
-97.763184,100,1132.621935
-100,100,1135.106367
-65.02343,100,1137.576696
-31.590898,100,1140.062872
-90.683765,100,1142.428355
-100,100,1144.89789
-95.947571,100,1147.414136
-98.324735,100,1149.899901
-100,100,1152.384713
-91.348616,100,1154.847983
-100,100,1157.28731
-87.007983,100,1159.77288
-98.515275,100,1162.204775
-90.742448,100,1164.637651
-93.547525,100,1166.939431
-97.964501,100,1169.257181
-99.052476,100,1171.580699
-100,100,1174.061142
-86.910662,100,1176.516117
-56.871978,100,1178.964793
-100,100,1181.45145
-99.592231,100,1183.906645
-100,100,1186.369892
-100,100,1188.808942
-100,100,1191.27348
-100,100,1193.775012
-100,100,1196.230656
-99.845789,100,1198.664365
-66.736198,100,1201.135473
-100,100,1203.606016
-100,100,1206.107388
-80.711217,100,1208.57235
-100,100,1210.889877
-100,100,1213.343906
-98.780023,100,1215.844595
-100,100,1218.345834
-100,100,1220.877349
-100,100,1223.431494
-99.881342,100,1225.94854
-99.317771,100,1228.382508
-100,100,1230.92142
-48.388804,100,1233.423459
-87.98753,100,1235.771498
-95.199557,100,1238.327588
-99.385191,100,1240.759591
-98.85324,100,1243.830843
-100,100,1246.395609
-100,100,1248.981822
-100,100,1251.568325
-98.530816,100,1254.054229
-100,100,1256.601211
-99.378666,100,1259.102871
-100,100,1261.642341
-92.605541,100,1264.159026
-100,100,1266.509045
-85.147055,100,1269.02562
-59.385007,100,1271.364718
-63.289942,100,1273.881907
-78.649003,100,1276.183869
-100,100,1278.670469
-92.976599,100,1281.13477
-83.537998,100,1283.474303
-100,100,1285.775743
-99.838733,100,1288.16025
-90.149864,100,1290.612309
-98.858195,100,1293.113545
-99.853711,100,1295.568506
-96.372355,100,1298.087402
-100,100,1300.55132
-99.307224,100,1303.006617
-100,100,1305.439506
-86.436872,100,1307.941167
-100,100,1310.38082
-100,100,1312.861397
-100,100,1315.285078
-96.036099,100,1317.719474
-100,100,1320.169511
-100,100,1322.624993
-99.712658,100,1325.096098
-100,100,1327.59773
-98.329444,100,1330.030278
-100,100,1332.478504
-99.836162,100,1334.965293
-98.395503,100,1337.450973
-100,100,1339.95325
-100,100,1342.356556
-100,100,1344.810524
-100,100,1347.311262
-100,100,1349.616859
-100,100,1352.134174
-100,100,1354.634267
-99.735426,100,1357.098025
-99.51604,100,1359.537869
-75.227952,100,1362.002044
-92.070967,100,1364.488547
-81.558339,100,1366.990676
-98.028381,100,1369.32932
-95.004159,100,1371.862968
-100,100,1374.297005
-100,100,1376.814225
-100,100,1379.238121
-100,100,1381.718837
-98.167388,100,1384.219577
-62.178608,100,1386.740937
-100,100,1389.24172
-100,100,1391.796109
-99.618437,100,1394.27575
-96.478297,100,1396.71521
-93.774599,100,1399.264045
-84.549961,100,1401.736326
-97.591201,100,1404.221839
-95.68803,100,1406.507658
-97.769538,100,1408.924592
-87.584031,100,1411.474499
-100,100,1414.028697
-98.321801,100,1416.562267
-100,100,1419.064423
-99.600875,100,1421.596267
-91.979851,100,1423.966071
-100,100,1426.338037
-100,100,1428.841249
-74.917772,100,1431.359553
-96.38162,100,1433.846397
-100,100,1436.194446
-100,100,1438.69543
-100,100,1441.164792
-100,100,1443.63565
-100,100,1446.698641
-99.80831,100,1449.769384
-99.81416,100,1452.771612
-100,100,1455.873292
-100,100,1458.944194
-100,100,1462.224774
-71.141855,100,1465.650404
-100,100,1468.254234
-99.841176,100,1470.602158
-100,100,1473.157715
-100,100,1475.637921
-94.096907,100,1478.141027
-80.803843,100,1480.694701
-100,100,1483.197941
-100,100,1485.715842
-94.973131,100,1488.202793
-82.524967,100,1490.719977
-96.59496,100,1493.191643
-100,100,1496.17912
-99.985165,100,1498.766948
-100,100,1501.2684
-99.879654,100,1503.731879
-100,100,1506.33427
-100,100,1508.872371
-75.957744,100,1511.391125
-100,100,1513.722451
-99.954728,100,1516.241021
-100,100,1518.764414
-57.897149,100,1521.282959
-86.099396,100,1523.814989
-99.882724,100,1526.316469
-99.958237,100,1528.869741
-100,100,1531.288165
-91.236602,100,1533.805379
-100,100,1536.275263
-100,100,1538.776707
