EpLenMean,TotalRewardMean,EVAfter,KL,EVBefore,EpRewMean,EpRewSEM
100.0,-493399.00665696425,-2609293533034393.5,0.0035245987,-3195480898763115.0,-55.4985740367026,0.0
100.0,-493497.0451305773,-869383796647531.1,0.005360471,-826058538218661.4,-98.03847361303579,0.0
100.0,-493571.3074378964,-292882779158962.8,0.0065556862,-531523331992229.6,-74.26230731912045,0.0
100.0,-493623.98322895897,-188932887753667.75,0.0039485507,-211174932027766.8,-52.67579106256891,0.0
100.0,-493723.96650799236,-172189364401633.4,0.006881686,-229807464213698.38,-99.9832790334012,0.0
100.0,-493791.7074421805,-185093949578723.12,0.0043319417,-266217332718042.72,-67.74093418813248,0.0
100.0,-493876.0765963099,-6710799046895450.0,0.0040838616,-6954890606497180.0,-84.36915412939484,0.0
100.0,-493973.67425966065,-3330076855083315.0,0.005511419,-4189722444358130.5,-97.59766335078082,0.0
100.0,-494073.67425966065,-385124294453527.25,0.008800353,-481618022375381.56,-100.0,0.0
100.0,-494173.67425966065,-638364399465533.4,0.009944584,-997705880517069.5,-100.0,0.0
100.0,-494273.1794957856,-884446464899488.8,0.0097789755,-772872423580208.2,-99.50523612498611,0.0
100.0,-494363.4219726569,-1819983479322093.5,0.004463628,-2598900941625119.5,-90.24247687128786,0.0
100.0,-494463.4219726569,-308729521680928.4,0.0083971275,-316549061798577.94,-100.0,0.0
100.0,-494563.20180870587,-571773600551509.0,0.0065709203,-924704117431785.2,-99.77983604895044,0.0
100.0,-494663.20180870587,-407512705858034.7,0.0064145387,-535765285842807.75,-100.0,0.0
100.0,-494763.20180870587,-2039449068426296.5,0.007646705,-1991091631545739.0,-100.0,0.0
100.0,-494862.4026381377,-1292144384951707.2,0.005088277,-1969589992910254.5,-99.20082943183368,0.0
100.0,-494962.4026381377,-728708611712382.0,0.005228227,-748253087448048.8,-100.0,0.0
100.0,-495059.36087887606,-378988437947879.56,0.004273404,-497591026975311.1,-96.9582407383821,0.0
100.0,-495151.4242609152,-130892653919638.34,0.0044368985,-337511756074956.3,-92.06338203913047,0.0
100.0,-495234.42350200686,-1077167710884168.8,0.0031228773,-1356373277155268.2,-82.99924109163486,0.0
100.0,-495334.42350200686,-336427224134791.25,0.008303805,-381130752070331.25,-100.0,0.0
100.0,-495433.99711496074,-546943050634784.8,0.0071219294,-874195631157012.6,-99.57361295389785,0.0
100.0,-495533.99711496074,-524575452514974.3,0.0050562816,-515472764553269.8,-100.0,0.0
100.0,-495632.1213306012,-260099027003020.84,0.004664796,-373991505998299.44,-98.12421564050186,0.0
100.0,-495731.4612419255,-211970279043143.03,0.0047075865,-224950347182190.3,-99.3399113242453,0.0
100.0,-495830.86696936586,-192821425815523.94,0.0056262417,-376962060380832.7,-99.40572744034857,0.0
100.0,-495861.9518214058,-476933475005246.3,0.0030611525,-432463902704809.5,-31.084852039915827,0.0
100.0,-495961.9518214058,-135358074072104.75,0.0082234265,-154059731805822.8,-100.0,0.0
100.0,-496053.5706211708,-251861159947438.44,0.0038840545,-325347709407051.56,-91.61879976498358,0.0
100.0,-496153.5706211708,-1044012775748055.1,0.0052485405,-1328584914596103.5,-100.0,0.0
100.0,-496253.5706211708,-250730588987851.72,0.008627783,-281389893498144.66,-100.0,0.0
100.0,-496353.5706211708,-352796158067985.5,0.0076829693,-333655447288632.44,-100.0,0.0
100.0,-496453.5706211708,-509602436549169.9,0.0066257236,-643162586020400.4,-100.0,0.0
100.0,-496553.5706211708,-2036990971518541.0,0.010939763,-2062130823494948.5,-100.0,0.0
100.0,-496639.4944072032,-1532204175210191.2,0.0043217293,-2218625718055537.2,-85.9237860324385,0.0
100.0,-496738.6167222602,-78851742259626.73,0.011725321,-133046323641736.56,-99.12231505695941,0.0
100.0,-496804.6820312023,-115441078692412.56,0.0040251072,-88545028025065.75,-66.06530894210181,0.0
100.0,-496872.64522078977,-188568553272469.03,0.004521406,-97430648790514.5,-67.96318958748653,0.0
100.0,-496962.6601787426,-2512010088244549.5,0.0036385688,-3028980319598738.5,-90.014957952855,0.0
100.0,-497062.6601787426,-1748544513748351.2,0.003781598,-1422955581694337.8,-100.0,0.0
100.0,-497162.6601787426,-2672498245539431.5,0.00901635,-2319646893824527.0,-100.0,0.0
100.0,-497259.8511075044,-2090084670202511.8,0.0048909904,-3027046738131383.0,-97.19092876178559,0.0
100.0,-497357.04420880025,-2.8103748553904188e+16,0.0067751757,-1287788824011579.2,-97.19310129582794,0.0
100.0,-497457.04420880025,-5.906310935268101e+16,0.01148939,-5.2075466861528376e+16,-100.0,0.0
100.0,-497557.04420880025,-3.577632565048762e+16,0.011514724,-4.079634211166936e+16,-100.0,0.0
100.0,-497657.04420880025,-2.880019838956946e+16,0.010884533,-3.1512942529177468e+16,-100.0,0.0
100.0,-497757.04420880025,-3.96610099337215e+16,0.010951545,-4.2216594415877e+16,-100.0,0.0
100.0,-497842.55612138374,-4.530355318125428e+16,0.0075516207,-5.076939811346353e+16,-85.51191258346272,0.0
100.0,-497940.8867746898,-2.3152582930442628e+16,0.0067846514,-2.5099049358842664e+16,-98.33065330605133,0.0
100.0,-498040.6927658996,-3.0227832784098308e+16,0.0070176576,-3.271927786865773e+16,-99.80599120981051,0.0
100.0,-498140.2997777249,-1.8281042513071004e+16,0.005732319,-2.0827215464526348e+16,-99.60701182528733,0.0
100.0,-498238.147001542,-1.951009254768099e+16,0.008531764,-2.1551186437238356e+16,-97.84722381708187,0.0
100.0,-498330.150312711,-1.6277025502837364e+16,0.0037753503,-1.7857664018234996e+16,-92.00331116906696,0.0
100.0,-498425.99409651884,-2.6769333066886036e+16,0.010367423,-2.8373901368414196e+16,-95.84378380782462,0.0
100.0,-498525.99409651884,-1.3326004167217908e+16,0.008549579,-1.460017192693452e+16,-100.0,0.0
100.0,-498625.99409651884,-1.7880872031580376e+16,0.007826622,-2.0583631688133404e+16,-100.0,0.0
100.0,-498690.7871407605,-1.372508550479246e+16,0.006905005,-1.5753789137744796e+16,-64.79304424167925,0.0
100.0,-498788.9490696157,-1.5259938865831856e+16,0.0042935433,-1.6485882498246976e+16,-98.1619288551633,0.0
100.0,-498888.1181101931,-1.2134162545321796e+16,0.005375959,-1.300775214122602e+16,-99.16904057743386,0.0
100.0,-498983.66424119193,-6487780939770162.0,0.0035919824,-7116366022290057.0,-95.54613099879643,0.0
100.0,-499083.66424119193,-6904585172751916.0,0.0068323556,-7960500175793020.0,-100.0,0.0
100.0,-499183.66424119193,-3464909006516252.0,0.0068888515,-4083818352237899.0,-100.0,0.0
100.0,-499283.66424119193,-5866375667820920.0,0.009049138,-7941219352704221.0,-100.0,0.0
